48
11 39 2.000000 1.000000 3.000000
11 30 7.000000 3.000000 4.000000
11 36 3.200000 1.200000 33.000000
12 40 0.000000 0.000000 1.000000 3.000000
12 38 0.000000 0.000000 3.000000 1.300000
12 27 0.000000 0.000000 3.000000 3.000000
12 32 0.000000 0.000000 4.000000 3.000000
12 43 0.000000 0.000000 12.000000 1.000000
12 35 0.000000 0.000000 2.700000 8.400000
12 34 0.000000 0.000000 56.400000 5.430000
12 48 0.000000 0.000000 123.432100 123.423100
13 41 0.000000 0.000000 1.000000 2.000000
13 42 0.000000 0.000000 2.000000 1.000000
13 28 0.000000 0.000000 5.000000 2.000000
13 37 0.000000 0.000000 4.200000 3.100000
13 47 0.000000 0.000000 66.200000 3.000000
